id;peak1;n_visitas1;standv1;MAD1;cov1;peak2;n_visitas2;standv2;MAD2;cov2;diff_visita;diff_peak
70045293;2;7;0.5;0.5;0.25;7;30;0.6376980003071354;0.0;0.0;-23;-5
130004164;2;9;0.33071891388307384;0.0;0.0;7;30;0.5252257314388902;0.0;0.0;-21;-5
130012432;2;9;0.33071891388307384;0.0;0.0;7;30;0.5252257314388902;0.0;0.0;-21;-5
310002890;2;11;0.9433981132056604;1.0;0.5;7;30;0.8446516354424753;1.0;0.14285714285714285;-19;-5
150257782;2;3;0.0;0.0;0.0;7;21;0.0;0.0;0.0;-18;-5
110047201;2;8;0.9897433186107869;1.0;0.5;7;25;1.050.793.351.076.540;1.0;0.14285714285714285;-17;-5
130004792;2;14;1.049.090.899.768.140;1.0;0.5;7;31;0.9285592184789413;0.0;0.0;-17;-5
150270638;2;9;0.9270248108869579;0.5;0.25;7;26;0.6881860213634101;0.0;0.0;-17;-5
70002921;2;12;102.851.895.445.316;1.0;0.5;7;28;0.823189287810847;0.0;0.0;-16;-5
150182545;2;6;0.9797958971132712;0.0;0.0;7;22;0.6529194857524803;0.0;0.0;-16;-5
310017397;2;15;0.9609731462195508;1.0;0.5;7;31;0.8975274678557507;1.0;0.14285714285714285;-16;-5
200108313;2;2;0.0;0.0;0.0;7;17;0.5;0.0;0.0;-15;-5
11138;2;15;0.82065180664829;0.0;0.0;7;29;11.088.696.211.614.300;1.0;0.14285714285714285;-14;-5
150263537;2;5;0.0;0.0;0.0;7;19;0.8748897637790901;1.0;0.14285714285714285;-14;-5
192402;2;17;1.165.922.381.636.100;1.0;0.5;7;30;1.002.968.246.361.990;1.0;0.14285714285714285;-13;-5
130015775;2;20;10.989.796.325.169.000;1.0;0.5;7;33;0.8926785535678563;1.0;0.14285714285714285;-13;-5
151167116;2;9;0.7071067811865476;0.5;0.25;7;22;12.453.996.981.544.700;1.0;0.14285714285714285;-13;-5
310009954;2;16;0.6531972647421808;0.0;0.0;7;29;0.6575697371257846;0.0;0.0;-13;-5
27417;2;3;0.5;0.5;0.25;7;15;0.6388765649999398;0.0;0.0;-12;-5
150253099;2;2;0.0;0.0;0.0;7;14;0.6153846153846155;0.0;0.0;-12;-5
40781;2;7;1.699.673.171.197.590;1.5;0.75;7;18;0.8360394355030526;0.0;0.0;-11;-5
70043709;2;7;0.5;0.5;0.25;7;18;0.6655122646461624;1.0;0.14285714285714285;-11;-5
70137555;2;13;0.7592027982620249;0.5;0.25;7;24;0.876062681722169;0.0;0.0;-11;-5
150203502;2;5;0.4330127018922193;0.0;0.0;7;16;10.749.676.997.731.300;1.0;0.14285714285714285;-11;-5
184764;2;16;0.8692269873603531;0.0;0.0;7;26;10.777.754.868.245.900;1.0;0.14285714285714285;-10;-5
300005121;2;7;10.671.873.729.054.700;1.0;0.5;7;17;1.184.205.957.593.520;0.0;0.0;-10;-5
113886;2;15;10.301.575.072.754.200;1.0;0.5;7;24;12.824.244.525.002.200;1.0;0.14285714285714285;-9;-5
363716;2;5;0.7071067811865476;0.5;0.25;7;14;0.8770580193070292;1.0;0.14285714285714285;-9;-5
70164531;4;6;1.624.807.680.927.190;1.0;0.25;14;15;15.118.578.920.369.000;1.0;0.07142857142857142;-9;-10
130170332;3;6;0.4898979485566356;0.0;0.0;14;15;16.659.862.556.700.800;1.0;0.07142857142857142;-9;-11
300002525;2;8;14.142.135.623.730.900;0.0;0.0;7;16;12.578.641.509.408.800;1.0;0.14285714285714285;-8;-5
310017239;2;3;0.0;0.0;0.0;7;11;0.6403124237432849;0.5;0.07142857142857142;-8;-5
107269;2;12;15.850.541.612.875.100;1.0;0.5;7;19;2.560.381.915.956.200;2.0;0.2857142857142857;-7;-5
130060139;2;15;1.779.990.827.768.150;1.0;0.5;7;22;17.855.555.485.002.500;1.0;0.14285714285714285;-7;-5
150209168;2;15;0.9609731462195507;1.0;0.5;7;22;10.033.955.955.097.800;1.0;0.14285714285714285;-7;-5
151253194;2;8;10.301.575.072.754.200;1.0;0.5;7;15;11.627.728.997.214.000;0.0;0.0;-7;-5
310009956;2;16;15.260.697.523.012.700;1.0;0.5;7;23;17.627.926.754.241.100;1.0;0.14285714285714285;-7;-5
110005788;2;11;0.9433981132056604;1.0;0.5;7;17;0.9921567416492215;1.0;0.14285714285714285;-6;-5
150201358;2;3;0.0;0.0;0.0;7;9;0.7806247497997998;1.0;0.14285714285714285;-6;-5
150212019;2;10;19.309.052.441.091.900;2.0;1.0;7;16;21.746.008.573.733.400;2.0;0.2857142857142857;-6;-5
151038970;2;5;1.224.744.871.391.580;0.5;0.25;7;11;12.206.555.615.733.700;1.0;0.14285714285714285;-6;-5
151163064;2;16;0.618241233033047;0.0;0.0;7;22;0.5593971487843205;0.0;0.0;-6;-5
320006055;2;10;0.5665577237325317;0.0;0.0;7;16;10.873.004.286.866.700;1.0;0.14285714285714285;-6;-5
151200431;2;7;13.437.096.247.164.200;1.0;0.5;8;13;12.332.207.155.790.600;1.0;0.125;-6;-6
144837;3;7;11.055.415.967.851.300;1.0;0.3333333333333333;12;13;1.724.013.405.464.760;2.0;0.16666666666666666;-6;-9
130001592;2;15;0.6102859818083952;0.5;0.25;13;21;14.654.350.889.752.800;1.0;0.07692307692307693;-6;-11
408238;2;12;11.922.615.498.730.900;0.0;0.0;7;17;14.670.868.242.881.800;1.0;0.14285714285714285;-5;-5
70117727;2;11;0.6000000000000001;0.0;0.0;7;16;0.6324555320336759;0.0;0.0;-5;-5
